ID,SiteName,Address,Lat,Long,SiteType,NiceSiteType,PlugTypes,AvailableCount,TotalPorts,IsPlannedSite,RequireCable,Costs
127,RAA Charge Comfort Inn & Suites Manhattan,"471 Main North Road, Enfield SA 5085",-34.85051,138.6017511,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
128,RAA Charge Comfort Inn & Suites Riverland," Hawdon Street, Barmera SA 5345",-34.246431,140.4728529,7,Charging at 7kW,Type 2,3,3,False,No ports require a cable,
129,RAA Charge KI Airport," Arronmore Road, Cygnet River SA 5223",-35.709244,137.5233417,7,Charging at 7kW,Type 2,6,6,False,All ports require a cable,
130,RAA Charge Meningie,"49 Princes Highway, Meningie SA 5264",-35.688009,139.3376712,200,Charging up to 200kW,"CCS2, CHAdeMO",4,4,False,No ports require a cable,
131,RAA Charge Monarto Safari Park Hotel,"63 Monarto Road, Monarto SA 5254",-35.095014,139.173172,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
132,RAA Charge Marion Holiday Park,"323 Sturt Road, Bedford Park SA 5042",-35.01737,138.5617335,7,Charging at 7kW,Type 2,2,3,False,All ports require a cable,
133,RAA Charge Kimba Bowling Club," North Terrace, Kimba SA 5641",-33.134949,136.4164262,7,Charging at 7kW,Type 2,2,2,False,No ports require a cable,
134,RAA Charge Bonnies of Beachport,"1 Railway Terrace, Beachport SA 5280",-37.482362,140.013783,7,Charging at 7kW,Type 2,2,2,False,All ports require a cable,
135,RAA Charge Barunga West Council,"11 Bay Street, Port Broughton SA 5522",-33.600018,137.9317902,7,Charging at 7kW,Type 2,2,3,False,No ports require a cable,
136,RAA Charge William MacIntosh Motor Lodge,"20 Stewart Terrace, Naracoorte SA 5271",-36.944065,140.7247532,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
137,RAA Charge Stansbury Holiday Motel,"16 Adelaide Road, Stansbury SA 5582",-34.903221,137.7963904,7,Charging at 7kW,Type 2,2,2,False,All ports require a cable,
138,RAA Charge Coober Pedy,"LOT 773 Hutchison Street, Coober Pedy SA 5723",-29.014825,134.7557612,150,Charging up to 150kW,"CCS2, Type 2",2,4,False,Some ports require a cable,
139,RAA Charge KI Seaside Inn,"7 Cygnet Road, Kingscote SA 5223",-35.659501,137.6311127,7,Charging at 7kW,Type 2,3,3,False,All ports require a cable,
140,RAA Charge Laura Caravan Park,"1 Victoria Street, Laura SA 5480",-33.181007,138.3025539,7,Charging at 7kW,Type 2,4,4,False,Some ports require a cable,
